Subset,Method,Dataset,Column,Printed value,Reproduced value
30%,Centroid Pooled,Multi-Agent,Delta%Med,+1.8,+1.8
30%,Centroid Pooled,Multi-Agent,Delta%P95,−34.6,−34.5
30%,Centroid Pooled,Multi-Agent,Delta%W,−53.7,−53.7
30%,Core/Edge Pooled,Multi-Model,MaxErr,4.73,4.67
30%,Core/Edge Pooled,Multi-Model,Delta%Med,−3.2,−4.4
30%,Core/Edge Pooled,Multi-Model,Delta%P95,−41.0,−41.7
30%,Core/Edge Pooled,Multi-Model,Delta%W,−58.6,−59.1
30%,Core/Edge Pooled,Multi-Agent,MaxErr,5.05,5.22
30%,Core/Edge Pooled,Multi-Agent,Delta%Med,+5.8,+9.3
30%,Core/Edge Pooled,Multi-Agent,Delta%P95,−32.0,−29.7
30%,Core/Edge Pooled,Multi-Agent,Delta%W,−51.9,−50.3
30%,Medoid Pooled,Multi-Model,MaxErr,5.11,5.11
30%,Medoid Pooled,Multi-Model,Delta%Med,+4.6,+4.6
30%,Medoid Pooled,Multi-Model,Delta%P95,−36.2,−36.2
30%,Medoid Pooled,Multi-Model,Delta%W,−55.3,−55.3
30%,Medoid Pooled,Multi-Agent,MaxErr,4.32,4.59
30%,Medoid Pooled,Multi-Agent,Delta%Med,−9.5,−3.8
30%,Medoid Pooled,Multi-Agent,Delta%P95,−41.8,−38.2
30%,Medoid Pooled,Multi-Agent,Delta%W,−58.8,−56.3
30%,FL Pooled,Multi-Model,MaxErr,5.09,5.09
30%,FL Pooled,Multi-Model,Delta%Med,+4.2,+4.1
30%,FL Pooled,Multi-Model,Delta%P95,−36.5,−36.5
30%,FL Pooled,Multi-Model,Delta%W,−55.5,−55.5
30%,FL Pooled,Multi-Agent,MaxErr,4.35,4.65
30%,FL Pooled,Multi-Agent,Delta%Med,−9.0,−2.7
30%,FL Pooled,Multi-Agent,Delta%P95,−41.5,−37.5
30%,FL Pooled,Multi-Agent,Delta%W,−58.6,−55.7
30%,KS Pooled,Multi-Model,MaxErr,4.93,4.73
30%,KS Pooled,Multi-Model,Delta%Med,+0.9,−3.3
30%,KS Pooled,Multi-Model,Delta%P95,−38.5,−41.0
30%,KS Pooled,Multi-Model,Delta%W,−56.9,−58.7
30%,KS Pooled,Multi-Agent,MaxErr,4.30,4.70
30%,KS Pooled,Multi-Agent,Delta%Med,−9.9,−1.6
30%,KS Pooled,Multi-Agent,Delta%P95,−42.1,−36.7
30%,KS Pooled,Multi-Agent,Delta%W,−59.0,−55.2
