run_group,subset,instances,table,first_method,second_method,paired_window_sizes,first_mean_rmse,first_median_rmse,second_mean_rmse,change_of_mean_rmse_pct,wins,ties,losses,wilcoxon_p,holm_p,cliff_delta
7,5%,966,baseline_rmse,Diff-Strat,,6,0.031872,0.031261,,,,,,,,
7,5%,966,baseline_rmse,Consist-Strat,,5,0.027914,0.027349,,,,,,,,
7,5%,966,baseline_rmse,Repo-Strat,,6,0.053860,0.053859,,,,,,,,
7,5%,966,baseline_rmse,Repo×Diff,,6,0.058910,0.061736,,,,,,,,
7,5%,966,baseline_rmse,Repo×Consist,,5,0.071792,0.066585,,,,,,,,
7,5%,966,consist_strat_vs_baseline,Consist-Strat,Random,5,0.027914,,0.056902,-50.94,5,0,0,0.0625,0.3125,1.000
7,5%,966,consist_strat_vs_baseline,Consist-Strat,Diff-Strat,5,0.027914,,0.030891,-9.64,5,0,0,0.0625,0.3125,1.000
7,5%,966,consist_strat_vs_baseline,Consist-Strat,Repo-Strat,5,0.027914,,0.053679,-48.00,5,0,0,0.0625,0.3125,1.000
7,5%,966,consist_strat_vs_baseline,Consist-Strat,Repo×Diff,5,0.027914,,0.058993,-52.68,5,0,0,0.0625,0.3125,1.000
7,5%,966,consist_strat_vs_baseline,Consist-Strat,Repo×Consist,5,0.027914,,0.071792,-61.12,5,0,0,0.0625,0.3125,1.000
7,5%,966,centroid_pooled_vs_consist_strat,Centroid Pooled,Consist-Strat,5,0.029856,,0.027914,6.96,3,0,2,0.8125,1.0000,0.200
7,5%,966,centroid_pooled_vs_random,Centroid Pooled,Random,6,0.031201,,0.057521,-45.76,6,0,0,0.0312,0.3125,1.000
7,10%,966,baseline_rmse,Random,,6,0.039536,0.039651,,,,,,,,
7,10%,966,baseline_rmse,Diff-Strat,,6,0.022224,0.021689,,,,,,,,
7,10%,966,baseline_rmse,Consist-Strat,,5,0.019389,0.018535,,,,,,,,
7,10%,966,baseline_rmse,Repo-Strat,,6,0.066946,0.067415,,,,,,,,
7,10%,966,baseline_rmse,Repo×Diff,,6,0.030951,0.034049,,,,,,,,
7,10%,966,baseline_rmse,Repo×Consist,,5,0.048328,0.050756,,,,,,,,
7,10%,966,consist_strat_vs_baseline,Consist-Strat,Random,5,0.019389,,0.039381,-50.77,5,0,0,0.0625,0.3125,1.000
7,10%,966,consist_strat_vs_baseline,Consist-Strat,Diff-Strat,5,0.019389,,0.021612,-10.29,5,0,0,0.0625,0.3125,1.000
7,10%,966,consist_strat_vs_baseline,Consist-Strat,Repo-Strat,5,0.019389,,0.067584,-71.31,5,0,0,0.0625,0.3125,1.000
7,10%,966,consist_strat_vs_baseline,Consist-Strat,Repo×Diff,5,0.019389,,0.029906,-35.17,5,0,0,0.0625,0.3125,1.000
7,10%,966,consist_strat_vs_baseline,Consist-Strat,Repo×Consist,5,0.019389,,0.048328,-59.88,5,0,0,0.0625,0.3125,1.000
